index,Raw,Count,Lemmantize,Porter,Lancaster
932,points,3,point,point,point
941,correctly,3,correctly,correctli,correct
938,sense,3,sense,sens,sens
939,programmes,3,programme,programm,program
937,described,3,described,describ,describ
936,milestone,3,milestone,mileston,mileston
931,others,3,others,other,oth
934,tests,3,test,test,test
933,wording,3,wording,word,word
935,Agree,3,Agree,agre,agr
955,turned,3,turned,turn,turn
946,tanks,3,tank,tank,tank
956,suspected,3,suspected,suspect,suspect
961,specs,3,spec,spec,spec
929,Very,3,Very,veri,very
960,manual,3,manual,manual,man
959,foam,3,foam,foam,foam
958,dealing,3,dealing,deal,deal
957,terms,3,term,term,term
954,chance,3,chance,chanc,chant
947,brought,3,brought,brought,brought
953,agreement,3,agreement,agreement,agr
952,happen,3,happen,happen,hap
951,attached,3,attached,attach,attach
950,Welfare,3,Welfare,welfar,welf
949,Ferrybridge,3,Ferrybridge,ferrybridg,ferrybridg
948,benefits,3,benefit,benefit,benefit
930,charge,3,charge,charg,charg
905,signed,3,signed,sign,sign
928,painted,3,painted,paint,paint
901,teeth,3,teeth,teeth,tee
908,pre-erection,3,pre-erection,pre-erect,pre-erection
907,Produce,3,Produce,produc,produc
906,slowed,3,slowed,slow,slow
904,contentious,3,contentious,contenti,contenty
903,i.e,3,i.e,i.e,i.e
902,insufficient,3,insufficient,insuffici,insufficy
900,open,3,open,open,op
910,cause,3,cause,caus,caus
899,AVL,3,AVL,avl,avl
898,Develop,3,Develop,develop,develop
897,16.01,3,16.01,16.01,16.01
896,Plate,3,Plate,plate,plat
895,initial,3,initial,initi,init
963,chosen,3,chosen,chosen,chos
909,addition,3,addition,addit,addit
911,lines,3,line,line,lin
927,plants,3,plant,plant,plant
920,On,3,On,on,on
926,Economiser,3,Economiser,economis,econom
925,currently,3,currently,current,cur
924,moved,3,moved,move,mov
923,slow,3,slow,slow,slow
922,ambiguous,3,ambiguous,ambigu,ambigu
921,eventually,3,eventually,eventu,ev
919,PTS,3,PTS,pt,pts
912,meeting,3,meeting,meet,meet
918,P6,3,P6,p6,p6
917,dismantle,3,dismantle,dismantl,dismantl
916,payment,3,payment,payment,pay
915,…,3,…,…,…
914,greater,3,greater,greater,gre
913,anticipated,3,anticipated,anticip,anticip
962,respective,3,respective,respect,respect
1012,written,3,written,written,writ
964,principle,3,principle,principl,principl
1009,Air,3,Air,air,air
1015,reviewing,3,reviewing,review,review
1014,collaborative,3,collaborative,collabor,collab
1013,general,3,general,gener,gen
893,Install,3,Install,instal,instal
1011,repair,3,repair,repair,repair
1010,day,3,day,day,day
1008,fighting,3,fighting,fight,fight
1017,weights,3,weight,weight,weight
1007,Sales,3,Sales,sale,sal
1006,Manual,3,Manual,manual,man
1005,columns,3,column,column,column
1004,operatives,3,operative,oper,op
